id,name,id
2,,2
144,04P Deep Sea Navy Tie Dye Palm PRINT,144
148,05M Turquoise Multi Graphic Flor,148
149,06A Baltic Teal Multi Palm ,149
145,08R White Tropic Palm PRINT,145
141,0XX Papaya Orange,141
137,1NQ WILD BLOSSOM,137
124,22P025A-5,124
142,2IZ Clay Bisque Retro Paisley PRINT,142
150,30C Allspice Floral- Gingham Mix,150
151,5D0 Deep Sea Navy Paisley Mix,151
152,5EB Wild Blossom Multi Swirl ,152
262,6201930000,262
261,6201936000,261
259,6202930000,259
260,6202931500,260
258,6202934800,258
269,6211339000,269
143,9VU Compass Red Multi Stars PRINT,143
13,Allure,13
248,AQUAMARINE WASH AM2133_016APV1_COLORWAY70,248
157,Arctic Gray,157
214,ARTIC GRAY,214
118,ARUBA BLUE,118
165,Baltic teal angel fish,165
216,Baltic Teal Angel Fish 05U,216
172,Baltic teal Docked boats,172
166,Baltic teal multi palm,166
212,Baltic Teal Multi Palm 06A,212
247,Barbados Cherry,247
226,Barbados Cherry 19-1757 TCX,226
267,Beetle,267
14,Birch and Goat Color Block,14
15,Birch and Goat Colorblock,15
130,"BLA
BLACK",130
133,BLA BLACK,133
16,Black,16
17,Black  Sherpa Lining,17
18,BLACK AND WHITE GEO AM2233_039APv1_colorway9,18
19,Black ANF Casual Black AFW- 808643,19
20,Black Beauty,20
21,Black Beauty Block,21
283,Black Beauty w Black Fur,283
228,Black Beauty w Graphic,228
11,Black Beauty with Black Fur,11
22,"Black Beauty, Bright White",22
23,"Black Beauty, Cream Lining",23
186,Black Berry,186
200,Black Diagonal Tie Dye ,200
251,BLACK FLORAL AM2133_033APV1_COLORWAY79,251
24,Black Grey Block,24
257,BLACK GROUND FLORAL AM2133_031APv2c11,257
198,Black Map Print ,198
154,BLACK SOLID,154
282,Black w Frosted Fur,282
25,BLACK W TIPPING,25
244,Black White Block,244
277,Black with Black Fur,277
9,Black with Frosted Fur,9
3,Blue,3
26,BLUE AND RED MULTISTRIPE AM2233_033APv4_color,26
108,BLUE AND RED MULTISTRIPE AM2233_033APv4_colorway36,108
284,Blue Black Plaid,284
224,BLUE BLOCKED,224
27,Blue Butterfly AM2233_026APv1c5,27
28,Blue Floral AM2233_024APv_colorway7,28
256,Blue Micro Geo AM2133_011APV2-005,256
29,BLUE PAISLEY FLORAL,29
30,Blue Pantone 18-3929 TCX Blue Horizon,30
31,Blue Quartz pantone 19-3964 tcx,31
253,BLUE SPIRAL WASH AM2133 034APV1,253
32,BLUE TAPE FLORAL WITH SOLID BORDER AM2233_03.,32
107,BLUE TAPE FLORAL WITH SOLID BORDER AM2233_03..more,107
